id,provincia,canton,modulo,tipo,extension,tamano_mb,porcentaje,estado_documental,condicion_tecnica,archivo,ruta,keywords,snippet
3a7e13a2a4f9,Los Ríos,Quinsaloma,Otros,Informe / revisión,docx,0.04,44,,,Informe_valoracion_integracion_lineamientos_ENOS_Quinsaloma (1).docx,Los Ríos/Quinsaloma/Informe_valoracion_integracion_lineamientos_ENOS_Quinsaloma (1).docx,Inundación/anegamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Seguimiento F07,"INFORME TECNICO DE VALORACION Porcentaje de integracion de los Lineamientos Estrategicos ENOS 2026-2027 Plan de Accion ante el Fenomeno ""El Nino"" en el canton Quinsaloma Resultado ponderado 44 / 100 Nivel de integracion MEDIA-BAJA: instrumento preliminar, no validable como plan operativo cerrado 1. Criterio ejecutivo El documento revisado presenta una base narrativa util sobre el fenomeno El Nino, la exposicion general del canton Quinsaloma y las amenazas asociadas a inundaciones, salud, agricul"
5bacbfbfecbe,Los Ríos,Quevedo,Informe de valoración,Informe pendiente,txt,0.0,,,,INFORME_VALORACION_PENDIENTE.txt,Los Ríos/Quevedo/02_INFORME_VALORACION/INFORME_VALORACION_PENDIENTE.txt,,INFORME DE VALORACIÓN PENDIENTE · Los Ríos / Quevedo No se localizó un plan o registro específico suficiente para emitir valoración técnica. Pendiente cargar o ubicar el documento base del cantón.
157daaf9fed1,Los Ríos,Quevedo,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Quevedo/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
87820450a166,Los Ríos,Quevedo,Seguimiento F07,Guía F07,txt,0.0,,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Quevedo/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,Registrar mensualmente: - Porcentaje anterior. - Porcentaje actual. - Actividades ejecutadas. - Actividades pendientes. - Brechas. - Apoyo requerido. - Verificables disponibles.
2c478dd6bfa7,Los Ríos,Quevedo,Plan / referencias,Sin archivo localizado,txt,0.0,,,,SIN_ARCHIVOS_COMPARTIDOS_LOCALIZADOS.txt,Los Ríos/Quevedo/01_PLAN_COMPARTIDO_O_REFERENCIAS/SIN_ARCHIVOS_COMPARTIDOS_LOCALIZADOS.txt,Seguimiento F07,Los Ríos / Quevedo No se localizaron archivos o registros específicos compartidos para este cantón en la búsqueda realizada. La carpeta queda preparada para incorporar: - Plan de Acción ENOS 2026-2027. - Informe de valoración. - Anexos verificables. - Seguimiento mensual F07.
7166dbe65f98,Los Ríos,Quevedo,Plan / referencias,PDF soporte,pdf,86.54,,,,ENOS 2027 QUEVEDO FINAL.pdf,Los Ríos/Quevedo/01_PLAN_COMPARTIDO_O_REFERENCIAS/ENOS 2027 QUEVEDO FINAL.pdf,Inundación/anegamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta; COE / coordinación,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE QUEVEDO JEFATURA DE GESTIÓN DE RIESGOS PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO EL NIÑO (ENOS) 2026–2027 GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN QUEVEDO PROVINCIA DE LOS RÍOS 1. DATOS GENERALES Provincia: Los Ríos Cantón: Quevedo Institución responsable: Gobierno Autónomo Descentralizado Municipal del Cantón Quevedo Presidente del COE Cantonal: Alexis Matute Matute – Alcalde del Cantón Quevedo Responsable técnica: Ing. Lina Lugo Rodr
6e3c26b476f2,Los Ríos,Valencia,Anexos verificables,Lista verificables,txt,0.0,,,,LISTA_VERIFICABLES_MINIMOS.txt,Los Ríos/Valencia/03_ANEXOS_VERIFICABLES/LISTA_VERIFICABLES_MINIMOS.txt,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07,"Verificables mínimos sugeridos: 1. Plan firmado o versión editable controlada. 2. Acta de COE o disposición institucional. 3. Matriz de acciones, responsables, plazos e indicadores. 4. Mapa, croquis, KMZ/SHP o georreferenciación de puntos críticos. 5. Fotografías por punto o sector. 6. Inventario de recursos y capacidades. 7. Registro de alojamientos temporales, rutas y puntos seguros. 8. Matriz F07 de seguimiento mensual."
e48ac86501d1,Los Ríos,Valencia,Seguimiento F07,Guía F07,txt,0.0,68,,,GUIA_SEGUIMIENTO_F07.txt,Los Ríos/Valencia/04_SEGUIMIENTO_F07/GUIA_SEGUIMIENTO_F07.txt,Seguimiento F07,"SEGUIMIENTO F07 · Los Ríos / Valencia Estado sugerido para seguimiento mensual: - Actualizar porcentaje de implementación cada mes. - Registrar actividades ejecutadas, actividades pendientes, brechas, apoyo requerido y verificables. - Usar criterios C1-C10 para medir avance. - Adjuntar actas, fotos, mapas, oficios, informes técnicos o enlaces Drive. Porcentaje base sugerido: 68 %"
40bed840390c,Los Ríos,Valencia,Informe de valoración,Informe / revisión,pdf,0.05,62,,,Revision_Valencia_ENOS_porcentaje_SNGR.pdf,Los Ríos/Valencia/02_INFORME_VALORACION/Revision_Valencia_ENOS_porcentaje_SNGR.pdf,Inundación/anegamiento; Erosión/socavación; Deslizamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Mitigación/dragado; Mitigación/obras,Revisión técnica - GAD Municipal de Valencia INFORME DE REVISIÓN TÉCNICA Y VALORACIÓN DE INTEGRACIÓN Plan de Respuesta por Época Lluviosa en el cantón Valencia 2026 / Informe técnico de análisis y plan de acción para reducción del riesgo Documento revisado INFORME TÉCNICO (1).docx - GAD Municipal del cantón Valencia / Unidad de Gestión de Riesgos Criterio base de revisión Lineamientos Estratégicos para los Gobiernos Autónomos Descentralizados ante el Evento El Niño 2026-2027; énfasis en conocimi
c890d0ca3713,Los Ríos,Valencia,Plan / referencias,Informe / revisión,pdf,141.63,,,,INFORME TÉCNICO APROBADO (1)-signed-signed.pdf,Los Ríos/Valencia/01_PLAN_COMPARTIDO_O_REFERENCIAS/INFORME TÉCNICO APROBADO (1)-signed-signed.pdf,Inundación/anegamiento; Desbordamiento; Infraestructura expuesta,G.A.D. MUNICIPAL DEL CANTÓN VALENCIA DIRECCIÓN DE URBANISMO Y ORDENAMIENTO TERRITORIAL UNIDAD DE GESTIÓN DE RIESGOS MINEDUC G.A.D. MUNICIPAL DEL CANTÓN VALENCIA DIRECCIÓN DE URBANISMO Y ORDENAMIENTO TERRITORIAL UNIDAD DE GESTIÓN DE RIESGOS PLAN DE RESPUESTA POR ÉPOCA LLUVIOSA EN EL CANTON VALENCIA 2026 G.A.D. MUNICIPAL DEL CANTÓN VALENCIA DIRECCIÓN DE URBANISMO Y ORDENAMIENTO TERRITORIAL UNIDAD DE GESTIÓN DE RIESGOS INFORME TÉCNICO ANÁLISIS Y PLAN DE ACCIÓN PARA LA REDUCCIÓN DEL RIESGO CANTÓN VA
