codigo_dpa,provincia,canton,semaforo_preliminar,estado_documental,porcentaje_concordancia,amenazas,brechas,respuesta,fortalecimiento,monitoreo,archivo_plan_principal
0201,Bolívar,Guaranda,AMARILLO,"Datos y seguimiento localizado; plan generado en conversación, no extraíble como archivo original",74,Desbordamiento fluvial | Afectación vial | Erosión hídrica / socavación | Movimiento en masa / deslizamiento | Inundación,Monitoreo y evidencias | Maquinaria / recursos operativos | Coordinación COE/MTT | Alojamientos temporales por validar | Drenaje / alcantarillado insuficiente,"Recursos y logística | Limpieza y mantenimiento preventivo | Alojamientos temporales | Evacuación, rutas y puntos seguros | Activación COE/UGR",Fortalecimiento UGR/COE | Actualización del plan,Evidencias | Seguimiento mensual | Indicadores | Reportes | Alertas / vigilancia,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Guaranda/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_GAD_Guaranda_2026_2027-signed-signed-signed (1).pdf
0202,Bolívar,Chillanes,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Movimiento en masa / deslizamiento | Inundación | Afectación vial | Erosión hídrica / socavación,Coordinación COE/MTT | Monitoreo y evidencias | Rutas y puntos seguros por validar | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Evacuación, rutas y puntos seguros | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE,Alertas / vigilancia | Reportes | Indicadores | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Chillanes/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION CHILLANES-signed-signed-signed (1).pdf
0203,Bolívar,Chimbo,PENDIENTE,Plan localizado,,Afectación vial | Erosión hídrica / socavación | Movimiento en masa / deslizamiento | Desbordamiento fluvial | Inundación,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,Activación COE/UGR | Recursos y logística | Limpieza y mantenimiento preventivo | Alojamientos temporales,Fortalecimiento UGR/COE | Actualización del plan | Capacitación,Seguimiento mensual | Alertas / vigilancia | Reportes | Evidencias,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Chimbo/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción Cantonal Chimbo El Niño 2026-2027-signed-signed-signed (1).pdf
0204,Bolívar,Echeandía,ROJO,Registros F01 localizados; sin plan final localizado,52,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Rutas y puntos seguros por validar | Drenaje / alcantarillado insuficiente,"Activación COE/UGR | Recursos y logística | Evacuación, rutas y puntos seguros | Alojamientos temporales | Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE | Protocolos / procedimientos | Actualización del plan | Capacitación | Simulacros / ejercicios,Alertas / vigilancia | Reportes | Evidencias | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Echeandía/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de ACCION 2026-2027 ENOS-signed-signed-signed (1).pdf
0205,Bolívar,San Miguel,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Déficit hídrico / sequía,Coordinación COE/MTT | Monitoreo y evidencias | Alojamientos temporales por validar | Rutas y puntos seguros por validar | Maquinaria / recursos operativos,"Activación COE/UGR | Alojamientos temporales | Evacuación, rutas y puntos seguros | Recursos y logística",Fortalecimiento UGR/COE | Simulacros / ejercicios,Reportes | Evidencias | Alertas / vigilancia | Indicadores | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/San Miguel/02_INFORME_VALORACION/Informe_revision_San_Miguel_Bolivar_ENOS_2026_2027.pdf
0206,Bolívar,Caluma,AMARILLO,Plan localizado,72,Desbordamiento fluvial | Afectación vial | Inundación | Erosión hídrica / socavación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Actualización del plan | Capacitación | Simulacros / ejercicios | Protocolos / procedimientos,Evidencias | Reportes | Alertas / vigilancia | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Caluma/01_PLAN_COMPARTIDO_O_REFERENCIAS/Estructura del plan de accion cantonal provincial (1)-signed-signed-signed (1).pdf
0207,Bolívar,Las Naves,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Erosión hídrica / socavación | Inundación | Movimiento en masa / deslizamiento,Coordinación COE/MTT | Monitoreo y evidencias | Rutas y puntos seguros por validar | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo | Activación COE/UGR | Evacuación, rutas y puntos seguros | Alojamientos temporales | Recursos y logística",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos | Actualización del plan,Reportes | Alertas / vigilancia | Evidencias | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Las Naves/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_Cantonal_ENOS_Las_Naves_Bolivar-signed-signed.pdf
2001,Galápagos,San Cristobal,PENDIENTE,Sin plan localizado,,Pendiente de extracción técnica del plan,Pendiente de validación de brechas en plan/Kobo,Pendiente de matriz de respuesta validada,Pendiente de agenda de fortalecimiento CZ5,Pendiente de seguimiento F07 / evidencias,
2002,Galápagos,Isabela,PENDIENTE,Plan localizado,,Afectación vial | Desbordamiento fluvial | Inundación | Marejada / zona costera | Erosión hídrica / socavación,Coordinación COE/MTT | Drenaje / alcantarillado insuficiente | Monitoreo y evidencias | Alojamientos temporales por validar | Maquinaria / recursos operativos,"Limpieza y mantenimiento preventivo | Activación COE/UGR | Recursos y logística | Alojamientos temporales | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Protocolos / procedimientos | Capacitación | Simulacros / ejercicios,Alertas / vigilancia | Evidencias | Reportes,PAQUETE_ENOS_ZONA5_2026_2027/Galápagos/Isabela/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE CONTINGENCIA POR EL FENÓMENO DE EL NIÑO 2026-2027 FINAL-signed-signed-signed-signed-signed-1.pdf
2003,Galápagos,Santa Cruz,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Afectación vial | Inundación | Movimiento en masa / deslizamiento | Déficit hídrico / sequía,Coordinación COE/MTT | Maquinaria / recursos operativos | Drenaje / alcantarillado insuficiente | Alojamientos temporales por validar | Monitoreo y evidencias,"Activación COE/UGR | Recursos y logística | Alojamientos temporales | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Protocolos / procedimientos | Capacitación | Actualización del plan,Reportes | Alertas / vigilancia | Evidencias | Indicadores | Seguimiento mensual,PAQUETE_ENOS_ZONA5_2026_2027/Galápagos/Santa Cruz/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan Contingencia ante El Fenómeno de el Niño 2026 - 2027-signed-signed-signed.pdf
0901,Guayas,Guayaquil,PENDIENTE,Plan localizado,,Desbordamiento fluvial | Inundación | Afectación vial | Movimiento en masa / deslizamiento | Déficit hídrico / sequía,Coordinación COE/MTT | Monitoreo y evidencias | Drenaje / alcantarillado insuficiente | Maquinaria / recursos operativos | Alojamientos temporales por validar,"Activación COE/UGR | Alojamientos temporales | Recursos y logística | Limpieza y mantenimiento preventivo | Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE | Simulacros / ejercicios | Protocolos / procedimientos | Capacitación | Actualización del plan,Alertas / vigilancia | Reportes | Evidencias | Seguimiento mensual | Indicadores,PAQUETE_ENOS_ZONA5_2026_2027/Guayas/Guayaquil/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCIÓN TERRITORIAL ANTE EL EVENTO ENOS 2026-2027_SEGURAEP_GADMGUAYAQUIL_V1-signed-signed-signed-signed-signed.pdf
