provincia,canton,codigo_dpa,folder_provincia,folder_canton,total_archivos,pdf_total,docx_total,md_total,txt_total,archivo_plan_principal,estado_extraccion,paginas_pdf,paginas_leidas,caracteres_extraidos,estado_documental,porcentaje_concordancia,condicion_tecnica,informe_valoracion_md,amenazas_detectadas,brechas_detectadas,respuesta_detectada,fortalecimiento_detectado,monitoreo_detectado,semaforo_preliminar_acompanamiento,lectura_base,lectura_tecnica_informe
Bolívar,Guaranda,0201,Bolívar,Guaranda,7,3,1,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Guaranda/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_ENOS_GAD_Guaranda_2026_2027-signed-signed-signed (1).pdf,texto_extraible,20,20,25574,"Datos y seguimiento localizado; plan generado en conversación, no extraíble como archivo original",74,Parcialmente concordante; requiere consolidación documental y anexos,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Guaranda/02_INFORME_VALORACION/INFORME_VALORACION_GUARANDA.md,Desbordamiento fluvial; Afectación vial; Erosión hídrica / socavación; Movimiento en masa / deslizamiento; Inundación,Monitoreo y evidencias; Maquinaria / recursos operativos; Coordinación COE/MTT; Alojamientos temporales por validar; Drenaje / alcantarillado insuficiente,"Recursos y logística; Limpieza y mantenimiento preventivo; Alojamientos temporales; Evacuación, rutas y puntos seguros; Activación COE/UGR",Fortalecimiento UGR/COE; Actualización del plan,Evidencias; Seguimiento mensual; Indicadores; Reportes; Alertas / vigilancia,AMARILLO,"La información reporta crecidas torrenciales de los ríos Suquibí y Guaranda, con seguimiento mensual, necesidad de maquinaria y responsable Patricio Medina.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Bolívar,Chillanes,0202,Bolívar,Chillanes,6,2,0,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Chillanes/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE ACCION CHILLANES-signed-signed-signed (1).pdf,texto_extraible,17,17,9582,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Movimiento en masa / deslizamiento; Inundación; Afectación vial; Erosión hídrica / socavación,Coordinación COE/MTT; Monitoreo y evidencias; Rutas y puntos seguros por validar; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Evacuación, rutas y puntos seguros; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE,Alertas / vigilancia; Reportes; Indicadores; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Movimiento en masa / deslizamiento, Inundación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Rutas y puntos seguros por validar.",
Bolívar,Chimbo,0203,Bolívar,Chimbo,6,2,1,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Chimbo/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de Acción Cantonal Chimbo El Niño 2026-2027-signed-signed-signed (1).pdf,texto_extraible,10,10,15684,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Afectación vial; Erosión hídrica / socavación; Movimiento en masa / deslizamiento; Desbordamiento fluvial; Inundación,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,Activación COE/UGR; Recursos y logística; Limpieza y mantenimiento preventivo; Alojamientos temporales,Fortalecimiento UGR/COE; Actualización del plan; Capacitación,Seguimiento mensual; Alertas / vigilancia; Reportes; Evidencias,PENDIENTE,"Extracción automática detectó Afectación vial, Erosión hídrica / socavación, Movimiento en masa / deslizamiento; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Maquinaria / recursos operativos.",
Bolívar,Echeandía,0204,Bolívar,Echeandía,4,1,0,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Echeandía/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan de ACCION 2026-2027 ENOS-signed-signed-signed (1).pdf,texto_extraible,45,45,56640,Registros F01 localizados; sin plan final localizado,52,Información base insuficiente para plan definitivo,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Echeandía/02_INFORME_VALORACION/INFORME_VALORACION_ECHEANDÍA.md,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Rutas y puntos seguros por validar; Drenaje / alcantarillado insuficiente,"Activación COE/UGR; Recursos y logística; Evacuación, rutas y puntos seguros; Alojamientos temporales; Limpieza y mantenimiento preventivo",Fortalecimiento UGR/COE; Protocolos / procedimientos; Actualización del plan; Capacitación; Simulacros / ejercicios,Alertas / vigilancia; Reportes; Evidencias; Seguimiento mensual; Indicadores,ROJO,"Se identifican puntos críticos y acciones asociadas a dragado, encauzamiento y muros de contención.","El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Bolívar,San Miguel,0205,Bolívar,San Miguel,4,1,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/San Miguel/02_INFORME_VALORACION/Informe_revision_San_Miguel_Bolivar_ENOS_2026_2027.pdf,texto_extraible,4,4,9779,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Inundación; Afectación vial; Déficit hídrico / sequía,Coordinación COE/MTT; Monitoreo y evidencias; Alojamientos temporales por validar; Rutas y puntos seguros por validar; Maquinaria / recursos operativos,"Activación COE/UGR; Alojamientos temporales; Evacuación, rutas y puntos seguros; Recursos y logística",Fortalecimiento UGR/COE; Simulacros / ejercicios,Reportes; Evidencias; Alertas / vigilancia; Indicadores; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Inundación, Afectación vial; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Alojamientos temporales por validar.",
Bolívar,Caluma,0206,Bolívar,Caluma,6,2,1,1,2,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Caluma/01_PLAN_COMPARTIDO_O_REFERENCIAS/Estructura del plan de accion cantonal provincial (1)-signed-signed-signed (1).pdf,texto_extraible,26,26,49324,Plan localizado,72,Revisión técnica requerida antes de remisión formal,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Caluma/02_INFORME_VALORACION/INFORME_VALORACION_CALUMA.md,Desbordamiento fluvial; Afectación vial; Inundación; Erosión hídrica / socavación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar,"Activación COE/UGR; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Actualización del plan; Capacitación; Simulacros / ejercicios; Protocolos / procedimientos,Evidencias; Reportes; Alertas / vigilancia; Seguimiento mensual; Indicadores,AMARILLO,El documento se identifica como Plan de Acción Territorial ante el Evento El Niño del cantón Caluma 2026-2027.,"El porcentaje asignado corresponde a una valoración técnica preliminar, no a aprobación formal. Evalúa la presencia y coherencia de estructura, identificación de amenazas, acciones, responsables, recursos, COE, comunicación, verificables y seguimiento mensual."
Bolívar,Las Naves,0207,Bolívar,Las Naves,7,2,1,0,4,PAQUETE_ENOS_ZONA5_2026_2027/Bolívar/Las Naves/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan_Accion_Cantonal_ENOS_Las_Naves_Bolivar-signed-signed.pdf,texto_extraible,12,12,30660,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Erosión hídrica / socavación; Inundación; Movimiento en masa / deslizamiento,Coordinación COE/MTT; Monitoreo y evidencias; Rutas y puntos seguros por validar; Maquinaria / recursos operativos; Alojamientos temporales por validar,"Limpieza y mantenimiento preventivo; Activación COE/UGR; Evacuación, rutas y puntos seguros; Alojamientos temporales; Recursos y logística",Fortalecimiento UGR/COE; Simulacros / ejercicios; Protocolos / procedimientos; Actualización del plan,Reportes; Alertas / vigilancia; Evidencias; Seguimiento mensual; Indicadores,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Erosión hídrica / socavación; brechas: Coordinación COE/MTT, Monitoreo y evidencias, Rutas y puntos seguros por validar.",
Galápagos,San Cristobal,2001,Galápagos,San Cristóbal,4,0,0,0,4,,sin_archivo,,0,0,Sin plan localizado,,No se localizó plan en carpeta 01,,,,,,,PENDIENTE,Pendiente de lectura técnica: el documento requiere extracción o validación manual.,
Galápagos,Isabela,2002,Galápagos,Isabela,5,3,0,0,2,PAQUETE_ENOS_ZONA5_2026_2027/Galápagos/Isabela/01_PLAN_COMPARTIDO_O_REFERENCIAS/PLAN DE CONTINGENCIA POR EL FENÓMENO DE EL NIÑO 2026-2027 FINAL-signed-signed-signed-signed-signed-1.pdf,texto_extraible,41,41,71586,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Afectación vial; Desbordamiento fluvial; Inundación; Marejada / zona costera; Erosión hídrica / socavación,Coordinación COE/MTT; Drenaje / alcantarillado insuficiente; Monitoreo y evidencias; Alojamientos temporales por validar; Maquinaria / recursos operativos,"Limpieza y mantenimiento preventivo; Activación COE/UGR; Recursos y logística; Alojamientos temporales; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Protocolos / procedimientos; Capacitación; Simulacros / ejercicios,Alertas / vigilancia; Evidencias; Reportes,PENDIENTE,"Extracción automática detectó Afectación vial, Desbordamiento fluvial, Inundación; brechas: Coordinación COE/MTT, Drenaje / alcantarillado insuficiente, Monitoreo y evidencias.",
Galápagos,Santa Cruz,2003,Galápagos,Santa Cruz,5,2,0,0,3,PAQUETE_ENOS_ZONA5_2026_2027/Galápagos/Santa Cruz/01_PLAN_COMPARTIDO_O_REFERENCIAS/Plan Contingencia ante El Fenómeno de el Niño 2026 - 2027-signed-signed-signed.pdf,texto_extraible,49,49,104172,Plan localizado,,Extracción inicial desde PDF/DOCX; requiere revisión técnica,,Desbordamiento fluvial; Afectación vial; Inundación; Movimiento en masa / deslizamiento; Déficit hídrico / sequía,Coordinación COE/MTT; Maquinaria / recursos operativos; Drenaje / alcantarillado insuficiente; Alojamientos temporales por validar; Monitoreo y evidencias,"Activación COE/UGR; Recursos y logística; Alojamientos temporales; Limpieza y mantenimiento preventivo; Evacuación, rutas y puntos seguros",Fortalecimiento UGR/COE; Protocolos / procedimientos; Capacitación; Actualización del plan,Reportes; Alertas / vigilancia; Evidencias; Indicadores; Seguimiento mensual,PENDIENTE,"Extracción automática detectó Desbordamiento fluvial, Afectación vial, Inundación; brechas: Coordinación COE/MTT, Maquinaria / recursos operativos, Drenaje / alcantarillado insuficiente.",
