provincia,canton,codigo_dpa,acciones_minimas_sensibilizacion,tematicas_campania,publico_objetivo,sector_comunidad_recinto,lat,lon,comite_comunitario_conformado,representante_comite,telefono_representante,canales_difusion,estado_ejecucion,enlace_plan_publico,observacion
Bolívar,Guaranda,0201,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Bolívar,Chillanes,0202,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Bolívar,Chimbo,0203,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Bolívar,Echeandía,0204,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Bolívar,San Miguel,0205,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Bolívar,Caluma,0206,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Bolívar,Las Naves,0207,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Galápagos,San Cristobal,2001,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Galápagos,Isabela,2002,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Galápagos,Santa Cruz,2003,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Guayaquil,0901,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Alfredo Baquerizo Moreno,0902,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Balao,0903,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Balzar,0904,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Colimes,0905,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Daule,0906,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
Guayas,Duran,0907,Pendiente,,,,,,Pendiente,,,,Pendiente,,Registro pendiente de Kobo
